"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",3.02,3.01,0.73
"Proportion of fished c-squares (I-2)",0.81,0.88,0.68
"Proportion of area fished (I-3)",0.67,0.73,0.3
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.47,0.48,0.24
"Proportion of persistently unfished c-squares (I-5)",0.19,0.12,0.32
"Average PD impact (I-6a)",0.15,0.14,0.04
"Average PD-sens impact (I-6b)",0.19,0.17,0.06
"Proportion of c-squares with PD impact < 0.2 (I-7a)",0.77,0.77,0.93
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",0.69,0.71,0.91
