"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","TBB_DMF"
"Area swept (1000 km2)","0.02","146.04","201.2","68.44","1.76","49.68","2.33"
"Landings (1000 tonnes)","0.11","10.96","23.68","35.23","0.99","1.79","0.49"
"Value (Million euro)","0.07","35.43","34.68","18.42","0.92","8.33","4.07"
"Landings / Area swept","5.21","0.08","0.12","0.51","0.56","0.04","0.21"
"Value / Area swept","3.01","0.24","0.17","0.27","0.52","0.17","1.75"
