"MSFD","Greater North Sea","Kattegat","Norwegian Trench","Central North Sea","Southern North Sea","Channel","Baltic Sea","Bothnian_BS","GulfF_BS","GulfR_BS","Proper_BS","ArkBor_BS","Western_BS","Celtic Seas","Northern Celtic Sea","Southern Celtic Sea","Bay of Biscay and the Iberian Coast","Gulf of Biscay","North-Iberian Atlantic","South-Iberian Atlantic","Gulf of Cadiz"
"Littoral rock and biogenic reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Littoral sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral rock and biogenic reef",17.4,41,35.1,NA,1.2,0,93.8,99.8,100,100,99.9,61.9,90.9,19.7,35.1,16.9,66.1,39.9,84.9,99.8,89.1
"Infralittoral coarse sediment",23.9,72.9,11.3,0,0.2,0,74.6,96.5,100,100,95.3,67.1,37.1,12.4,30.5,8.1,41.6,44.7,78.4,NA,21.3
"Infralittoral mixed sediment",60.8,63.8,86.5,NA,14.7,0,86.1,96.6,100,100,98.9,68.3,54.7,33.6,82.4,1.7,52.3,77.1,88.8,97.5,2.3
"Infralittoral sand",42.9,77.4,2.4,0,7.8,0.1,40.6,96.1,100,100,83.4,27.4,44.8,9.1,27,3.8,64.5,36.5,88.1,99.9,37.6
"Infralittoral mud",44.5,70.8,88.3,NA,31.4,0,68.5,99.7,100,100,97.4,7.6,51.4,35.2,43.6,23.9,62.1,60.1,94.2,97.6,33.7
"Infralittoral mud or Infralittoral sand",NA,NA,NA,NA,NA,NA,97.4,93.3,100,100,96.2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral rock and biogenic reef",19,30.9,26,NA,34.4,0,97.4,99.5,100,100,97.1,33.2,100,28.3,46.9,6.7,47.1,5.2,64.8,93.5,61.1
"Circalittoral coarse sediment",3,42.3,3.2,0,1.3,0,84,97.7,100,100,83,53.1,15.4,32.2,54.2,1.8,3.9,0.9,50.8,100,5.1
"Circalittoral mixed sediment",17.9,44.7,39.6,0,1.6,0,90.4,98,100,100,87.4,54.4,30.2,41.2,41.3,18.5,79.3,3.3,69,90.9,0.6
"Circalittoral sand",3.1,30.1,3.7,0,1.8,0,54.5,98.7,100,100,55.6,18,22.3,22.9,30.8,4.4,26.5,1.5,64.8,95.1,19.2
"Circalittoral mud",12,18.9,72.8,0,2.3,0,79.3,93.5,100,100,75.6,3.3,6.3,10.5,13.7,6.1,32.9,5.8,68.6,93.9,2.6
"Circalittoral mud or Circalittoral sand",NA,NA,NA,NA,NA,NA,86.2,93.9,100,100,72.3,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral rock and biogenic reef",4.1,1.7,3.4,NA,31.1,0,99.2,100,100,NA,99.5,0,NA,21.7,35.9,1.4,18.1,0.1,14.9,42.7,NA
"Offshore circalittoral coarse sediment",0.1,0,1.9,0,0.5,0,84.9,100,100,NA,89.3,3.6,50.8,15.5,43.4,0.1,1.1,0,7.3,87.2,0
"Offshore circalittoral mixed sediment",1,0.7,2.7,0,0.8,0,58.4,100,100,100,69.1,7.1,61.4,34.2,35.1,0,14.2,0,4.3,70.5,0
"Offshore circalittoral sand",0.2,1.7,0.1,0.3,0.2,0,11.5,100,100,NA,14.3,7.6,32.7,2,14.2,0,3.7,0,3.3,46.3,0
"Offshore circalittoral mud",0.2,0.7,0.9,0,0.1,0,41.3,100,100,100,62.9,2.1,1.1,1.7,7.8,0,16.4,0.1,1.1,58.4,0
"Offshore circalittoral mud or Offshore circalittoral sand",NA,NA,NA,NA,NA,NA,77.3,94,100,NA,79.7,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper bathyal rock and biogenic reef",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,60.1,0,37.6,0,28.9,67.6,39
"Upper bathyal sediment",7.9,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,16.3,4.9,19.7,0,10.4,35.6,35.6
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,27.2,21.7,40.9,0,42.8,40.6,NA
"Lower bathyal rock and biogenic reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,30.5,NA,NA
"Lower bathyal sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,43.8,0,28.3,NA,28.2,100,NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,NA,15.7,43.2,NA,48,32,NA
"Abyssal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,0,58.3,NA
"Unknown",0.5,83.7,67.2,NA,0.1,0,NA,NA,NA,NA,NA,NA,NA,29.5,36.4,1.2,56.9,25,13.1,94,61.3
