"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (million euro)/PD impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GVA (million euro)/PD impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Landings (1000 tonnes)/PD-sens impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (million euro)/PD-sens impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GVA (million euro)/PD-sens impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
