"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","0","0","0","0","0","0","0","0","0","0"
"Landings (1000 tonnes)","0","0","0","0","0","0","0","0","0","0"
"Value (Million euro)","0","0","0","0","0","0","0","0","0","0"
"Gross value added (Million euro)","0","0","0","0","0","0","0","0","0","0"
"Landings / Area swept","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Value / Area swept","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Gross value added / Area swept","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
