"","OT_CRU","OT_DMF","OT_SPF"
"Landings (1000 tonnes)/PD impact",0.011,0.165,3.55
"Value (million euro)/PD impact",0.069,0.128,0.915
"Landings (1000 tonnes)/PD-sens impact",0.008,0.098,2.437
"Value (million euro)/PD-sens impact",0.054,0.076,0.628
