"FAO region code","FAO region name","Average annual total fishing effort 
(kW * Fishing days)","Average contribution of SSF (%)","Observed contribution range of SSF [min - max%]"
"27.3.a.20","Skagerrak",8589113.83,8.17,"[6 - 11]"
"27.3.a.21","Kattegat",2933088.67,12.33,"[11 - 13]"
"27.3.b.23","The Sound",11237,41.83,"[7 - 75]"
