"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","SSC_DMF","TBB_DMF"
"Landings (1000 tonnes)/PD impact",0.057,0.02,0.042,0.019,0.057,0.076
"Value (million euro)/PD impact",0.084,0.111,0.118,0.066,0.101,0.303
"Landings (1000 tonnes)/PD-sens impact",0.053,0.016,0.035,0.015,0.045,0.053
"Value (million euro)/PD-sens impact",0.078,0.091,0.099,0.054,0.079,0.212
