"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",0.44,2.01,1.95
"Proportion of fished c-squares (I-2)",0.65,0.89,0.71
"Proportion of area fished (I-3)",0.17,0.66,0.47
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.13,0.47,0.32
"Proportion of persistently unfished c-squares (I-5)",0.35,0.11,0.29
"Average PD impact (I-6a)",0.03,0.11,0.19
"Average PD-sens impact (I-6b)",0.04,0.14,0.21
"Proportion of c-squares with PD impact < 0.2 (I-7a)",0.97,0.8,0.73
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",0.96,0.72,0.7
