"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",0.15,1.02,0.56
"Proportion of fished c-squares (I-2)",0.27,0.55,0.61
"Proportion of area fished (I-3)",0.11,0.29,0.24
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.13,0.2,0.21
"Proportion of persistently unfished c-squares (I-5)",0.73,0.45,0.39
"Average PD impact (I-6a)",0.01,0.04,0.03
"Average PD-sens impact (I-6b)",0.01,0.04,0.03
"Proportion of c-squares with PD impact < 0.2 (I-7a)",1,0.98,0.97
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",1,0.97,0.96
