"","OT_CRU","OT_DMF","OT_SPF","SDN_DMF","SSC_DMF","TBB_DMF"
"Area swept (1000 km2)","27.01","26.58","0.07","16.46","5.48","4.98"
"Landings (1000 tonnes)","3.33","27.37","0.62","1.59","0.59","4.04"
"Value (Million euro)","13.75","15.84","0.19","4.09","1.55","10.18"
"Landings / Area swept","0.12","1.03","9.46","0.1","0.11","0.81"
"Value / Area swept","0.51","0.6","2.91","0.25","0.28","2.04"
