"FAO region code","FAO region name","Average annual total fishing effort 
(kW * Fishing days)","Average contribution of SSF (%)","Observed contribution range of SSF [min - max%]"
"27.3.a.20","Skagerrak",8589113.83,8.17,"[6 - 11]"
"27.4.a","Northern North Sea",6518051,0,"[0 - 0]"
"27.4.b","Central North Sea",24194203,1,"[1 - 1]"
