"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_DMF"
"Area swept (1000 km2)","0.76","52.23","348.82","7.77","0.15","0.49","48.6","3.91"
"Landings (1000 tonnes)","4.12","6.36","44.77","1.76","1.27","0.03","2.89","2.89"
"Value (Million euro)","10.69","38.01","124.7","6.15","0.41","0.07","6.46","10.42"
"Landings / Area swept","5.4","0.12","0.13","0.23","8.61","0.06","0.06","0.74"
"Value / Area swept","14.01","0.73","0.36","0.79","2.76","0.14","0.13","2.67"
