"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_DMF"
"Landings (1000 tonnes)/PD impact",0.102,0.016,0.05,0.028,0.209,0.111,0.05,0.063
"Value (million euro)/PD impact",0.263,0.095,0.14,0.097,0.067,0.266,0.113,0.228
"Landings (1000 tonnes)/PD-sens impact",0.088,0.013,0.039,0.022,0.208,0.067,0.037,0.042
"Value (million euro)/PD-sens impact",0.229,0.077,0.11,0.077,0.067,0.16,0.082,0.153
