"","OT_DMF","OT_MIX","OT_SPF","SDN_DMF"
"Area swept (1000 km2)","54.35","25.87","0.1","0.41"
"Landings (1000 tonnes)","8.92","29.45","0.37","0.04"
"Value (Million euro)","0.59","0.02","0.1","0.09"
"Landings / Area swept","0.16","1.14","3.72","0.09"
"Value / Area swept","0.01","<0.005","1.05","0.22"
