"FAO region code","FAO region name","Average annual total fishing effort 
(kW * Fishing days)","Average contribution of SSF (%)","Observed contribution range of SSF [min - max%]"
"27.8.a","Bay of Biscay - North",10411305,23.17,"[21 - 24]"
"27.8.b","Bay of Biscay - Central",3154504.83,12.33,"[11 - 14]"
"27.8.c","Bay of Biscay - South",4221423.33,2.67,"[0 - 5]"
"27.8.d","Bay of Biscay - Offshore",125039,1,"[0 - 2]"
"27.9.a","Portuguese Waters - East",7567816.5,23.17,"[2 - 34]"
