"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",8.51,9,1.06
"Proportion of fished c-squares (I-2)",0.85,1,0.53
"Proportion of area fished (I-3)",0.68,0.91,0.39
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.4,0.49,0.29
"Proportion of persistently unfished c-squares (I-5)",0.15,0,0.47
"Average PD impact (I-6a)",0.37,0.47,0.12
"Average PD-sens impact (I-6b)",0.4,0.52,0.15
"Proportion of c-squares with PD impact < 0.2 (I-7a)",0.5,0.33,0.79
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",0.51,0.3,0.74
