"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX"
"Area swept (1000 km2)","0.02","73.14","0.79","0.39"
"Landings (1000 tonnes)","0.1","5.24","0.06","0.04"
"Value (Million euro)","0","0","0","0"
"Landings / Area swept","5.27","0.07","0.08","0.1"
"Value / Area swept","0","0","0","0"
