"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",5.86,7.98,1.05
"Proportion of fished c-squares (I-2)",0.9,1,0.68
"Proportion of area fished (I-3)",0.79,0.97,0.4
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.55,0.73,0.3
"Proportion of persistently unfished c-squares (I-5)",0.1,0,0.32
"Average PD impact (I-6a)",NA,NA,NA
"Average PD-sens impact (I-6b)",NA,NA,NA
"Proportion of c-squares with PD impact < 0.2 (I-7a)",NA,NA,NA
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",NA,NA,NA
