"","OT_DMF","OT_SPF"
"Landings (1000 tonnes)/PD impact",0.903,7.704
"Value (million euro)/PD impact",5.734,7.741
"Landings (1000 tonnes)/PD-sens impact",0.606,5.267
"Value (million euro)/PD-sens impact",3.847,5.292
