"","OT_DMF","OT_SPF"
"Area swept (1000 km2)","0.34","0.16"
"Landings (1000 tonnes)","0.4","0.42"
"Value (Million euro)","2.56","0.42"
"Landings / Area swept","1.19","2.67"
"Value / Area swept","7.58","2.68"
