"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_DMF"
"Landings (1000 tonnes)/PD impact",0.118,0.012,0.056,0.035,0.015,0.11,0.05,0.061
"Value (million euro)/PD impact",0.331,0.077,0.153,0.122,0.037,0.267,0.114,0.213
"Landings (1000 tonnes)/PD-sens impact",0.1,0.009,0.042,0.027,0.015,0.065,0.036,0.04
"Value (million euro)/PD-sens impact",0.28,0.062,0.116,0.095,0.037,0.159,0.082,0.141
