"FAO region code","FAO region name","Average annual total fishing effort 
(kW * Fishing days)","Average contribution of SSF (%)","Observed contribution range of SSF [min - max%]"
"27.3.c.22","Belt Sea",746329.5,22.67,"[18 - 30]"
"27.3.d.24","Baltic West of Bornholm",449995.67,11.67,"[11 - 13]"
