"","DRB_MOL","OT_DMF","OT_SPF","SDN_DMF"
"Landings (1000 tonnes)/PD impact",8.976,0.218,8.898,0.176
"Value (million euro)/PD impact",1.142,0.343,2.127,0.3
"Landings (1000 tonnes)/PD-sens impact",5.042,0.133,5.418,0.108
"Value (million euro)/PD-sens impact",0.642,0.21,1.295,0.185
