"","DRB_MOL","OT_DMF","OT_SPF","SDN_DMF"
"Landings (1000 tonnes)/PD impact",8.976,0.327,8.311,0.167
"Value (million euro)/PD impact",1.142,0.339,2.353,0.286
"Landings (1000 tonnes)/PD-sens impact",5.042,0.213,5.511,0.104
"Value (million euro)/PD-sens impact",0.642,0.221,1.56,0.178
