"FAO region code","FAO region name","Average annual total fishing effort 
(kW * Fishing days)","Average contribution of SSF (%)","Observed contribution range of SSF [min - max%]"
"27.3.a.20","Skagerrak",8589113.83,8.17,"[6 - 11]"
"27.4.b","Central North Sea",24194203,1,"[1 - 1]"
"27.4.c","Southern North Sea",19239402.33,0,"[0 - 0]"
"27.7.e","Eastern English Channel",8267270.5,32.83,"[31 - 35]"
