"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF"
"Landings (1000 tonnes)/PD impact",0.57,0.017,0.456,0.118,9.692,0.056,0.072,0.107,0.046
"Value (million euro)/PD impact",0.408,0.07,0.215,0.414,2.373,0.144,0.15,0.438,0.189
"Landings (1000 tonnes)/PD-sens impact",0.546,0.011,0.291,0.078,7.953,0.039,0.046,0.073,0.029
"Value (million euro)/PD-sens impact",0.392,0.047,0.137,0.273,1.947,0.101,0.096,0.299,0.119
