"","OT_DMF","OT_SPF"
"Landings (1000 tonnes)/PD impact",0.315,11.966
"Value (million euro)/PD impact",0.312,2.263
"Landings (1000 tonnes)/PD-sens impact",0.212,8.026
"Value (million euro)/PD-sens impact",0.21,1.518
