"","OT_DMF","OT_SPF","SDN_DMF"
"Area swept (1000 km2)","27.62","0.57","0.48"
"Landings (1000 tonnes)","11.44","0.94","0.03"
"Value (Million euro)","8.28","0.25","0.05"
"Landings / Area swept","0.41","1.64","0.07"
"Value / Area swept","0.3","0.43","0.11"
