"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",2.65,7.98,1.05
"Proportion of fished c-squares (I-2)",0.95,1,0.68
"Proportion of area fished (I-3)",0.72,0.97,0.4
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.46,0.73,0.3
"Proportion of persistently unfished c-squares (I-5)",0.05,0,0.32
"Average PD impact (I-6a)",0.19,0,0
"Average PD-sens impact (I-6b)",0.28,0,0
"Proportion of c-squares with PD impact < 0.2 (I-7a)",0.68,1,1
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",0.56,1,1
