"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",0.355,0.015,0.296,0.074,1.405,0.071,0.064,0.107,0.048,0.74
"Value (million euro)/PD impact",0.636,0.077,0.203,0.202,0.452,0.194,0.151,0.437,0.185,0.926
"Landings (1000 tonnes)/PD-sens impact",0.239,0.011,0.186,0.046,1.296,0.045,0.038,0.073,0.03,0.702
"Value (million euro)/PD-sens impact",0.428,0.057,0.128,0.126,0.416,0.123,0.089,0.299,0.116,0.878
