"FAO region code","FAO region name","Average annual total fishing effort 
(kW * Fishing days)","Average contribution of SSF (%)","Observed contribution range of SSF [min - max%]"
"27.4.c","Southern North Sea",19239402.33,0,"[0 - 0]"
"27.7.d","Western English Channel",12365350.33,17.33,"[16 - 18]"
"27.7.e","Eastern English Channel",8267270.5,32.83,"[31 - 35]"
