"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",0.266,0.008,0.072,0.071,0.071,0.099,0.064,0.055,0.74
"Value (million euro)/PD impact",0.716,0.058,0.194,0.187,0.14,0.302,0.16,0.217,0.926
"Landings (1000 tonnes)/PD-sens impact",0.162,0.006,0.047,0.044,0.067,0.063,0.035,0.035,0.702
"Value (million euro)/PD-sens impact",0.436,0.05,0.126,0.116,0.133,0.192,0.089,0.138,0.878
