"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",3.7,2.19,1.16
"Proportion of fished c-squares (I-2)",0.97,1,1
"Proportion of area fished (I-3)",0.86,0.9,0.72
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.6,0.69,0.64
"Proportion of persistently unfished c-squares (I-5)",0.03,0,0
"Average PD impact (I-6a)",0.19,0.09,0.04
"Average PD-sens impact (I-6b)",0.25,0.12,0.06
"Proportion of c-squares with PD impact < 0.2 (I-7a)",0.69,0.91,1
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",0.56,0.81,0.93
