"","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","TBB_DMF"
"Area swept (1000 km2)","65.03","140.12","42.1","1.66","49.27","2.33"
"Landings (1000 tonnes)","5.11","13.82","5.68","0.63","1.75","0.49"
"Value (Million euro)","35.4","34.09","18.4","0.81","8.24","4.07"
"Landings / Area swept","0.08","0.1","0.13","0.38","0.04","0.21"
"Value / Area swept","0.54","0.24","0.44","0.49","0.17","1.75"
